E,j
-2.000000000000000111e-01,5.999999999999999778e-01
-1.979959919839679450e-01,6.006012024048096309e-01
-1.959919839679358788e-01,6.012024048096191731e-01
-1.939879759519038127e-01,6.018036072144288262e-01
-1.919839679358717466e-01,6.024048096192384794e-01
-1.899799599198396804e-01,6.030060120240481325e-01
-1.879759519038076143e-01,6.036072144288576746e-01
-1.859719438877755759e-01,6.042084168336673278e-01
-1.839679358717435098e-01,6.048096192384769809e-01
-1.819639278557114437e-01,6.054108216432865230e-01
-1.799599198396793776e-01,6.060120240480961762e-01
-1.779559118236473114e-01,6.066132264529058293e-01
-1.759519038076152453e-01,6.072144288577153715e-01
-1.739478957915831792e-01,6.078156312625250246e-01
-1.719438877755511130e-01,6.084168336673346777e-01
-1.699398797595190469e-01,6.090180360721442199e-01
-1.679358717434869808e-01,6.096192384769538730e-01
-1.659318637274549146e-01,6.102204408817635262e-01
-1.639278557114228763e-01,6.108216432865730683e-01
-1.619238476953908101e-01,6.114228456913827214e-01
-1.599198396793587440e-01,6.120240480961923746e-01
-1.579158316633266779e-01,6.126252505010020277e-01
-1.559118236472946117e-01,6.132264529058115698e-01
-1.539078156312625456e-01,6.138276553106212230e-01
-1.519038076152304795e-01,6.144288577154308761e-01
-1.498997995991984133e-01,6.150300601202404183e-01
-1.478957915831663472e-01,6.156312625250500714e-01
-1.458917835671342811e-01,6.162324649298597246e-01
-1.438877755511022150e-01,6.168336673346692667e-01
-1.418837675350701488e-01,6.174348697394789198e-01
-1.398797595190380827e-01,6.180360721442885730e-01
-1.378757515030060166e-01,6.186372745490982261e-01
-1.358717434869739504e-01,6.192384769539077682e-01
-1.338677354709418843e-01,6.198396793587174214e-01
-1.318637274549098182e-01,6.204408817635270745e-01
-1.298597194388777520e-01,6.210420841683366167e-01
-1.278557114228457137e-01,6.216432865731462698e-01
-1.258517034068136475e-01,6.222444889779559229e-01
-1.238476953907815814e-01,6.228456913827654651e-01
-1.218436873747495153e-01,6.234468937875751182e-01
-1.198396793587174491e-01,6.240480961923847714e-01
-1.178356713426853830e-01,6.246492985971943135e-01
-1.158316633266533308e-01,6.252505010020039666e-01
-1.138276553106212646e-01,6.258517034068136198e-01
-1.118236472945891985e-01,6.264529058116232729e-01
-1.098196392785571324e-01,6.270541082164328150e-01
-1.078156312625250662e-01,6.276553106212424682e-01
-1.058116232464930001e-01,6.282565130260521213e-01
-1.038076152304609479e-01,6.288577154308616635e-01
-1.018036072144288817e-01,6.294589178356713166e-01
-9.979959919839681559e-02,6.300601202404809698e-01
-9.779559118236474946e-02,6.306613226452905119e-01
-9.579158316633268333e-02,6.312625250501001650e-01
-9.378757515030061720e-02,6.318637274549098182e-01
-9.178356713426855107e-02,6.324649298597193603e-01
-8.977955911823649882e-02,6.330661322645290134e-01
-8.777555110220443269e-02,6.336673346693386666e-01
-8.577154308617236655e-02,6.342685370741483197e-01
-8.376753507014030042e-02,6.348697394789578619e-01
-8.176352705410823429e-02,6.354709418837675150e-01
-7.975951903807616816e-02,6.360721442885771681e-01
-7.775551102204411591e-02,6.366733466933867103e-01
-7.575150300601204978e-02,6.372745490981963634e-01
-7.374749498997998365e-02,6.378757515030060166e-01
-7.174348697394791752e-02,6.384769539078155587e-01
-6.973947895791585139e-02,6.390781563126252118e-01
-6.773547094188378526e-02,6.396793587174348650e-01
-6.573146292585171913e-02,6.402805611222444071e-01
-6.372745490981965300e-02,6.408817635270540602e-01
-6.172344689378758686e-02,6.414829659318637134e-01
-5.971943887775552073e-02,6.420841683366733665e-01
-5.771543086172348236e-02,6.426853707414829087e-01
