E,j
-2.000000000000000111e-01,4.000000000000000222e-01
-1.979959919839679450e-01,4.004008016032064576e-01
-1.959919839679358788e-01,4.008016032064128376e-01
-1.939879759519038127e-01,4.012024048096192730e-01
-1.919839679358717466e-01,4.016032064128256529e-01
-1.899799599198396804e-01,4.020040080160320883e-01
-1.879759519038076143e-01,4.024048096192385238e-01
-1.859719438877755759e-01,4.028056112224449037e-01
-1.839679358717435098e-01,4.032064128256513391e-01
-1.819639278557114437e-01,4.036072144288577190e-01
-1.799599198396793776e-01,4.040080160320641545e-01
-1.779559118236473114e-01,4.044088176352705899e-01
-1.759519038076152453e-01,4.048096192384769698e-01
-1.739478957915831792e-01,4.052104208416834052e-01
-1.719438877755511130e-01,4.056112224448897852e-01
-1.699398797595190469e-01,4.060120240480962206e-01
-1.679358717434869808e-01,4.064128256513026560e-01
-1.659318637274549146e-01,4.068136272545090359e-01
-1.639278557114228763e-01,4.072144288577154714e-01
-1.619238476953908101e-01,4.076152304609218513e-01
-1.599198396793587440e-01,4.080160320641282867e-01
-1.579158316633266779e-01,4.084168336673346666e-01
-1.559118236472946117e-01,4.088176352705411021e-01
-1.539078156312625456e-01,4.092184368737475375e-01
-1.519038076152304795e-01,4.096192384769539174e-01
-1.498997995991984133e-01,4.100200400801603529e-01
-1.478957915831663472e-01,4.104208416833667328e-01
-1.458917835671342811e-01,4.108216432865731682e-01
-1.438877755511022150e-01,4.112224448897796036e-01
-1.418837675350701488e-01,4.116232464929859836e-01
-1.398797595190380827e-01,4.120240480961924190e-01
-1.378757515030060166e-01,4.124248496993987989e-01
-1.358717434869739504e-01,4.128256513026052343e-01
-1.338677354709418843e-01,4.132264529058116698e-01
-1.318637274549098182e-01,4.136272545090180497e-01
-1.298597194388777520e-01,4.140280561122244851e-01
-1.278557114228457137e-01,4.144288577154308650e-01
-1.258517034068136475e-01,4.148296593186373005e-01
-1.238476953907815814e-01,4.152304609218436804e-01
-1.218436873747495153e-01,4.156312625250501158e-01
-1.198396793587174491e-01,4.160320641282565512e-01
-1.178356713426853830e-01,4.164328657314629312e-01
-1.158316633266533308e-01,4.168336673346693666e-01
-1.138276553106212646e-01,4.172344689378757465e-01
-1.118236472945891985e-01,4.176352705410821819e-01
-1.098196392785571324e-01,4.180360721442886174e-01
-1.078156312625250662e-01,4.184368737474949973e-01
-1.058116232464930001e-01,4.188376753507014327e-01
-1.038076152304609479e-01,4.192384769539078126e-01
-1.018036072144288817e-01,4.196392785571142481e-01
-9.979959919839681559e-02,4.200400801603206835e-01
-9.779559118236474946e-02,4.204408817635270634e-01
-9.579158316633268333e-02,4.208416833667334989e-01
-9.378757515030061720e-02,4.212424849699398788e-01
-9.178356713426855107e-02,4.216432865731463142e-01
-8.977955911823649882e-02,4.220440881763527496e-01
-8.777555110220443269e-02,4.224448897795591296e-01
-8.577154308617236655e-02,4.228456913827655650e-01
-8.376753507014030042e-02,4.232464929859719449e-01
-8.176352705410823429e-02,4.236472945891783803e-01
-7.975951903807616816e-02,4.240480961923848158e-01
-7.775551102204411591e-02,4.244488977955911957e-01
-7.575150300601204978e-02,4.248496993987976311e-01
-7.374749498997998365e-02,4.252505010020040110e-01
-7.174348697394791752e-02,4.256513026052104465e-01
-6.973947895791585139e-02,4.260521042084168819e-01
-6.773547094188378526e-02,4.264529058116232618e-01
-6.573146292585171913e-02,4.268537074148296973e-01
-6.372745490981965300e-02,4.272545090180360772e-01
-6.172344689378758686e-02,4.276553106212425126e-01
-5.971943887775552073e-02,4.280561122244489480e-01
-5.771543086172348236e-02,4.284569138276553280e-01
-5.571142284569141623e-02,4.288577154308617634e-01
-5.370741482965935010e-02,4.292585170340681433e-01
-5.170340681362728397e-02,4.296593186372745787e-01
-4.969939879759521784e-02,4.300601202404809587e-01
-4.769539078156315171e-02,4.304609218436873941e-01
-4.569138276553108557e-02,4.308617234468938295e-01
-4.368737474949901944e-02,4.312625250501002094e-01
-4.168336673346695331e-02,4.316633266533066449e-01
-3.967935871743488718e-02,4.320641282565130248e-01
-3.767535070140282105e-02,4.324649298597194602e-01
-3.567134268537075492e-02,4.328657314629258956e-01
-3.366733466933868879e-02,4.332665330661322756e-01
-3.166332665330665042e-02,4.336673346693387110e-01
-2.965931863727458428e-02,4.340681362725450909e-01
-2.765531062124251815e-02,4.344689378757515263e-01
-2.565130260521045202e-02,4.348697394789579063e-01
-2.364729458917838589e-02,4.352705410821643417e-01
-2.164328657314631976e-02,4.356713426853707771e-01
-1.963927855711425363e-02,4.360721442885771570e-01
-1.763527054108218750e-02,4.364729458917835925e-01
-1.563126252505012137e-02,4.368737474949899724e-01
-1.362725450901805524e-02,4.372745490981964078e-01
-1.162324649298598911e-02,4.376753507014028433e-01
-9.619238476953922978e-03,4.380761523046092232e-01
-7.615230460921884603e-03,4.384769539078156586e-01
-5.611222444889818473e-03,4.388777555110220385e-01
-3.607214428857752342e-03,4.392785571142284740e-01
-1.603206412825686211e-03,4.396793587174349094e-01
4.008016032063799194e-04,4.400801603206412893e-01
2.404809619238446050e-03,4.404809619238477247e-01
4.408817635270512181e-03,4.408817635270541047e-01
6.412825651302578311e-03,4.412825651302605401e-01
8.416833667334644442e-03,4.416833667334669755e-01
1.042084168336671057e-02,4.420841683366733554e-01
1.242484969939877670e-02,4.424849699398797909e-01
1.442885771543084283e-02,4.428857715430861708e-01
1.643286573146290896e-02,4.432865731462926062e-01
1.843687374749494734e-02,4.436873747494990416e-01
2.044088176352701347e-02,4.440881763527054216e-01
2.244488977955907960e-02,4.444889779559118570e-01
2.444889779559114573e-02,4.448897795591182369e-01
2.645290581162321186e-02,4.452905811623246723e-01
2.845691382765527799e-02,4.456913827655311078e-01
3.046092184368734412e-02,4.460921843687374877e-01
3.246492985971941025e-02,4.464929859719439231e-01
3.446893787575147639e-02,4.468937875751503030e-01
3.647294589178354252e-02,4.472945891783567385e-01
3.847695390781560865e-02,4.476953907815631739e-01
4.048096192384767478e-02,4.480961923847695538e-01
4.248496993987974091e-02,4.484969939879759893e-01
4.448897795591177928e-02,4.488977955911823692e-01
4.649298597194384541e-02,4.492985971943888046e-01
4.849699398797591154e-02,4.496993987975952400e-01
5.050100200400797767e-02,4.501002004008016200e-01
5.250501002004004381e-02,4.505010020040080554e-01
5.450901803607210994e-02,4.509018036072144353e-01
5.651302605210417607e-02,4.513026052104208707e-01
5.851703406813624220e-02,4.517034068136273062e-01
6.052104208416830833e-02,4.521042084168336861e-01
6.252505010020037446e-02,4.525050100200401215e-01
6.452905811623244059e-02,4.529058116232465014e-01
6.653306613226450672e-02,4.533066132264529369e-01
6.853707414829657285e-02,4.537074148296593723e-01
7.054108216432863898e-02,4.541082164328657522e-01
7.254509018036070511e-02,4.545090180360721877e-01
7.454909819639277124e-02,4.549098196392785676e-01
7.655310621242483737e-02,4.553106212424850030e-01
7.855711422845690350e-02,4.557114228456914384e-01
8.056112224448896963e-02,4.561122244488978184e-01
8.256513026052098025e-02,4.565130260521041983e-01
8.456913827655304638e-02,4.569138276553106337e-01
8.657314629258511252e-02,4.573146292585170691e-01
8.857715430861717865e-02,4.577154308617234491e-01
9.058116232464924478e-02,4.581162324649298845e-01
9.258517034068131091e-02,4.585170340681362644e-01
9.458917835671337704e-02,4.589178356713426998e-01
9.659318637274544317e-02,4.593186372745491353e-01
9.859719438877750930e-02,4.597194388777555152e-01
1.006012024048095754e-01,4.601202404809619506e-01
1.026052104208416416e-01,4.605210420841683305e-01
1.046092184368737077e-01,4.609218436873747660e-01
1.066132264529057738e-01,4.613226452905812014e-01
1.086172344689378400e-01,4.617234468937875813e-01
1.106212424849699061e-01,4.621242484969940167e-01
1.126252505010019722e-01,4.625250501002003967e-01
1.146292585170340383e-01,4.629258517034068321e-01
1.166332665330661045e-01,4.633266533066132675e-01
1.186372745490981706e-01,4.637274549098196474e-01
1.206412825651302367e-01,4.641282565130260829e-01
1.226452905811623029e-01,4.645290581162324628e-01
1.246492985971943690e-01,4.649298597194388982e-01
1.266533066132264351e-01,4.653306613226453337e-01
1.286573146292585013e-01,4.657314629258517136e-01
1.306613226452905674e-01,4.661322645290581490e-01
1.326653306613226335e-01,4.665330661322645289e-01
1.346693386773546441e-01,4.669338677354709644e-01
1.366733466933867103e-01,4.673346693386773998e-01
1.386773547094187764e-01,4.677354709418837797e-01
1.406813627254508425e-01,4.681362725450902151e-01
1.426853707414829087e-01,4.685370741482965951e-01
1.446893787575149748e-01,4.689378757515030305e-01
1.466933867735470409e-01,4.693386773547094659e-01
1.486973947895791071e-01,4.697394789579158458e-01
1.507014028056111732e-01,4.701402805611222813e-01
1.527054108216432393e-01,4.705410821643286612e-01
1.547094188376753054e-01,4.709418837675350966e-01
1.567134268537073716e-01,4.713426853707415320e-01
1.587174348697394377e-01,4.717434869739479120e-01
1.607214428857715038e-01,4.721442885771543474e-01
1.627254509018035700e-01,4.725450901803607273e-01
1.647294589178356361e-01,4.729458917835671627e-01
1.667334669338677022e-01,4.733466933867735982e-01
1.687374749498997684e-01,4.737474949899799781e-01
1.707414829659318345e-01,4.741482965931864135e-01
1.727454909819639006e-01,4.745490981963927934e-01
1.747494989979959668e-01,4.749498997995992289e-01
1.767535070140280329e-01,4.753507014028056643e-01
1.787575150300600990e-01,4.757515030060120442e-01
1.807615230460921651e-01,4.761523046092184797e-01
1.827655310621242313e-01,4.765531062124248596e-01
1.847695390781562419e-01,4.769539078156312950e-01
1.867735470941883080e-01,4.773547094188376749e-01
1.887775551102203742e-01,4.777555110220441104e-01
1.907815631262524403e-01,4.781563126252504903e-01
1.927855711422845064e-01,4.785571142284569257e-01
1.947895791583165725e-01,4.789579158316633611e-01
1.967935871743486387e-01,4.793587174348697411e-01
1.987975951903807048e-01,4.797595190380761765e-01
2.008016032064127709e-01,4.801603206412825564e-01
2.028056112224448371e-01,4.805611222444889918e-01
2.048096192384769032e-01,4.809619238476954273e-01
2.068136272545089693e-01,4.813627254509018072e-01
2.088176352705410355e-01,4.817635270541082426e-01
2.108216432865731016e-01,4.821643286573146225e-01
2.128256513026051677e-01,4.825651302605210580e-01
2.148296593186372339e-01,4.829659318637274934e-01
2.168336673346693000e-01,4.833667334669338733e-01
2.188376753507013661e-01,4.837675350701403088e-01
