E,j
-2.000000000000000111e-01,8.000000000000000444e-01
-1.979959919839679450e-01,8.010020040080161330e-01
-1.959919839679358788e-01,8.020040080160321105e-01
-1.939879759519038127e-01,8.030060120240480881e-01
-1.919839679358717466e-01,8.040080160320641767e-01
-1.899799599198396804e-01,8.050100200400802652e-01
-1.879759519038076143e-01,8.060120240480962428e-01
-1.859719438877755759e-01,8.070140280561122204e-01
-1.839679358717435098e-01,8.080160320641283089e-01
-1.819639278557114437e-01,8.090180360721442865e-01
-1.799599198396793776e-01,8.100200400801603751e-01
-1.779559118236473114e-01,8.110220440881763526e-01
-1.759519038076152453e-01,8.120240480961924412e-01
-1.739478957915831792e-01,8.130260521042084187e-01
-1.719438877755511130e-01,8.140280561122245073e-01
-1.699398797595190469e-01,8.150300601202404849e-01
-1.679358717434869808e-01,8.160320641282565735e-01
-1.659318637274549146e-01,8.170340681362725510e-01
-1.639278557114228763e-01,8.180360721442886396e-01
-1.619238476953908101e-01,8.190380761523046171e-01
-1.599198396793587440e-01,8.200400801603207057e-01
-1.579158316633266779e-01,8.210420841683366833e-01
-1.559118236472946117e-01,8.220440881763527718e-01
-1.539078156312625456e-01,8.230460921843687494e-01
-1.519038076152304795e-01,8.240480961923848380e-01
-1.498997995991984133e-01,8.250501002004008155e-01
-1.478957915831663472e-01,8.260521042084169041e-01
-1.458917835671342811e-01,8.270541082164328817e-01
-1.438877755511022150e-01,8.280561122244489702e-01
-1.418837675350701488e-01,8.290581162324649478e-01
-1.398797595190380827e-01,8.300601202404810364e-01
-1.378757515030060166e-01,8.310621242484970139e-01
-1.358717434869739504e-01,8.320641282565131025e-01
-1.338677354709418843e-01,8.330661322645290801e-01
-1.318637274549098182e-01,8.340681362725451686e-01
-1.298597194388777520e-01,8.350701402805611462e-01
-1.278557114228457137e-01,8.360721442885772348e-01
-1.258517034068136475e-01,8.370741482965932123e-01
-1.238476953907815814e-01,8.380761523046093009e-01
-1.218436873747495153e-01,8.390781563126252784e-01
-1.198396793587174491e-01,8.400801603206413670e-01
-1.178356713426853830e-01,8.410821643286573446e-01
-1.158316633266533308e-01,8.420841683366734332e-01
-1.138276553106212646e-01,8.430861723446894107e-01
-1.118236472945891985e-01,8.440881763527054993e-01
-1.098196392785571324e-01,8.450901803607214768e-01
-1.078156312625250662e-01,8.460921843687375654e-01
-1.058116232464930001e-01,8.470941883767535430e-01
-1.038076152304609479e-01,8.480961923847696315e-01
-1.018036072144288817e-01,8.490981963927856091e-01
-9.979959919839681559e-02,8.501002004008015867e-01
-9.779559118236474946e-02,8.511022044088176752e-01
-9.579158316633268333e-02,8.521042084168337638e-01
-9.378757515030061720e-02,8.531062124248497414e-01
-9.178356713426855107e-02,8.541082164328657189e-01
-8.977955911823649882e-02,8.551102204408818075e-01
-8.777555110220443269e-02,8.561122244488977850e-01
-8.577154308617236655e-02,8.571142284569138736e-01
-8.376753507014030042e-02,8.581162324649298512e-01
-8.176352705410823429e-02,8.591182364729459398e-01
-7.975951903807616816e-02,8.601202404809619173e-01
-7.775551102204411591e-02,8.611222444889780059e-01
-7.575150300601204978e-02,8.621242484969939834e-01
-7.374749498997998365e-02,8.631262525050100720e-01
-7.174348697394791752e-02,8.641282565130260496e-01
-6.973947895791585139e-02,8.651302605210421381e-01
-6.773547094188378526e-02,8.661322645290581157e-01
-6.573146292585171913e-02,8.671342685370742043e-01
-6.372745490981965300e-02,8.681362725450901818e-01
-6.172344689378758686e-02,8.691382765531062704e-01
-5.971943887775552073e-02,8.701402805611222480e-01
-5.771543086172348236e-02,8.711422845691383365e-01
-5.571142284569141623e-02,8.721442885771543141e-01
-5.370741482965935010e-02,8.731462925851704027e-01
-5.170340681362728397e-02,8.741482965931863802e-01
-4.969939879759521784e-02,8.751503006012024688e-01
-4.769539078156315171e-02,8.761523046092184464e-01
-4.569138276553108557e-02,8.771543086172345349e-01
-4.368737474949901944e-02,8.781563126252505125e-01
-4.168336673346695331e-02,8.791583166332666011e-01
-3.967935871743488718e-02,8.801603206412825786e-01
-3.767535070140282105e-02,8.811623246492986672e-01
-3.567134268537075492e-02,8.821643286573146447e-01
-3.366733466933868879e-02,8.831663326653307333e-01
-3.166332665330665042e-02,8.841683366733467109e-01
-2.965931863727458428e-02,8.851703406813627995e-01
-2.765531062124251815e-02,8.861723446893787770e-01
-2.565130260521045202e-02,8.871743486973948656e-01
-2.364729458917838589e-02,8.881763527054108431e-01
-2.164328657314631976e-02,8.891783567134269317e-01
-1.963927855711425363e-02,8.901803607214429093e-01
-1.763527054108218750e-02,8.911823647294589978e-01
-1.563126252505012137e-02,8.921843687374749754e-01
-1.362725450901805524e-02,8.931863727454910640e-01
-1.162324649298598911e-02,8.941883767535070415e-01
-9.619238476953922978e-03,8.951903807615231301e-01
-7.615230460921884603e-03,8.961923847695391077e-01
-5.611222444889818473e-03,8.971943887775550852e-01
-3.607214428857752342e-03,8.981963927855711738e-01
-1.603206412825686211e-03,8.991983967935872624e-01
4.008016032063799194e-04,9.002004008016032399e-01
2.404809619238446050e-03,9.012024048096192175e-01
4.408817635270512181e-03,9.022044088176353061e-01
6.412825651302578311e-03,9.032064128256515056e-01
8.416833667334644442e-03,9.042084168336675942e-01
1.042084168336671057e-02,9.052104208416839048e-01
1.242484969939877670e-02,9.062124248497006596e-01
1.442885771543084283e-02,9.072144288577181914e-01
1.643286573146290896e-02,9.082164328657372776e-01
1.843687374749494734e-02,9.092184368737600275e-01
2.044088176352701347e-02,9.102204408817903269e-01
2.244488977955907960e-02,9.112224448898362805e-01
2.444889779559114573e-02,9.122244488979146526e-01
2.645290581162321186e-02,9.132264529060593050e-01
2.845691382765527799e-02,9.142284569143386275e-01
3.046092184368734412e-02,9.152304609228879562e-01
3.246492985971941025e-02,9.162324649319755210e-01
3.446893787575147639e-02,9.172344689421239039e-01
3.647294589178354252e-02,9.182364729543460724e-01
3.847695390781560865e-02,9.192384769705828074e-01
4.048096192384767478e-02,9.202404809945212705e-01
4.248496993987974091e-02,9.212424850330973580e-01
4.448897795591177928e-02,9.222444890992362865e-01
4.649298597194384541e-02,9.232464932167955274e-01
4.849699398797591154e-02,9.242484974293938560e-01
5.050100200400797767e-02,9.252505018160190886e-01
5.250501002004004381e-02,9.262525065183445649e-01
5.450901803607210994e-02,9.272545117880450771e-01
5.651302605210417607e-02,9.282565180679230865e-01
5.851703406813624220e-02,9.292585261295638333e-01
6.052104208416830833e-02,9.302605373045031989e-01
6.252505010020037446e-02,9.312625538683785287e-01
6.452905811623244059e-02,9.322645796726259926e-01
6.653306613226450672e-02,9.332666211722678851e-01
